id_player,first_activity_year,Won
N534,No data,No data
AA32,2009,0
PD67,No data,No data
MP39,2013,0
GE43,No data,No data
A834,2006,0
LD16,2013,0
D794,2005,0
CG25,2012,0
D0J9,2023,0
KC79,2009,0
MG08,2005,1
B483,1993,0
BM85,1970,0
LC70,No data,No data
HA16,2010,0
GB25,2008,0
PC01,2005,0
H810,2006,0
F829,2010,0
HA02,2008,0
BT78,No data,No data
GB31,2008,0
PC15,2005,0
H804,2004,45
AF40,No data,No data
B497,1998,0
C789,No data,No data
BM91,No data,No data
LC64,2013,0
T875,2005,0
C0K4,2022,0
CG31,No data,No data
D780,No data,No data
D958,2008,0
AA26,No data,No data
PD73,2009,0
GE57,2011,0
G289,No data,No data
A820,2006,0
CG19,2011,0
R592,2001,0
KC45,2009,0
S854,1998,0
D0I5,2022,0
D970,No data,No data
BD07,No data,No data
MG34,No data,No data
P385,1998,0
MP05,1970,2
H192,No data,No data
A808,No data,No data
BT50,2014,2
MW63,No data,No data
F801,No data,No data
FA07,1952,0
Q925,No data,No data
KD23,2010,0
M954,1999,0
M798,No data,No data
KD37,2012,0
T849,1970,1
C0H8,No data,No data
LC58,2011,0
BT44,No data,No data
F815,2010,0
MW77,2015,0
W398,No data,No data
N291,1997,13
PC29,2008,0
I298,2010,0
P391,1999,0
MP11,2012,0
KC51,2011,0
D964,2014,0
BD13,2004,0
MG20,No data,No data
B642,1997,0
CB82,2006,0
BO44,1935,82
ML77,2010,0
O366,2007,0
W171,1989,14
W617,2009,0
F342,1998,0
V509,2004,0
O400,2010,0
BH22,2008,2
E893,2013,0
MK11,No data,No data
D555,2001,0
K666,2008,0
B124,1964,196
E887,2013,0
BH36,2008,0
MK05,2008,0
D541,No data,No data
K672,2001,0
S465,1990,8
B130,1969,123
W603,2008,0
I065,No data,No data
G048,1975,272
GG96,2013,0
O414,2008,0
O372,2008,0
F430,No data,No data
W165,1990,0
M565,1992,0
B656,1997,0
BA88,2002,0
S303,1960,3
CB96,2006,0
D227,1991,5
ML63,2010,0
V253,1999,0
G706,2002,14
H435,1998,8
P622,2000,0
N044,1960,627
A377,1998,0
MB93,2002,0
E111,1989,0
R035,1981,2
L653,2004,3
C206,1985,0
KA84,No data,No data
J544,No data,No data
E677,2008,0
LH33,No data,No data
B118,No data,No data
K882,No data,No data
T322,1998,0
N722,2011,0
A411,No data,No data
PH42,2012,1
G060,1978,1
V535,No data,No data
N736,2011,0
P150,1972,16
G074,1968,99
PH56,2012,0
O428,2009,0
V521,2004,0
MK39,2009,0
U028,1992,0
KA90,2007,0
S459,1991,4
J550,No data,No data
E663,2010,0
K896,2005,0
MB87,2002,0
K128,No data,No data
R021,1984,1
LA99,2008,0
C574,1998,0
V247,1997,20
G712,2002,0
H421,1997,0
N050,1975,1
AD56,2013,0
FC39,2015,0
G921,2005,0
HC14,2013,0
CB41,2006,1
B859,2001,0
B681,1999,2
L874,2005,0
E688,2007,6
BF39,2006,0
R974,No data,No data
E850,No data,No data
DB48,No data,No data
CE27,2010,0
D596,2002,0
HD72,2013,0
PF65,2010,2
GI99,2013,0
AC30,2012,0
N911,2014,0
HD66,2013,0
PF71,2012,0
R960,2006,0
K869,2004,0
EA42,2015,0
D582,2002,0
CE33,2009,0
CB55,No data,No data
KF09,2013,0
L860,2005,0
G935,2006,2
HC00,2012,0
B865,2000,0
ML88,2012,0
DE12,2013,0
L690,2002,0
MB50,2001,0
L848,2004,0
FC05,No data,No data
O399,No data,No data
V290,2000,0
W830,1912,77
N939,2014,0
H390,1997,140
PF59,2012,0
ME36,No data,No data
BF05,2006,0
K841,No data,No data
R948,2006,0
DB74,2012,0
KA47,2008,0
R790,2004,0
LF28,No data,No data
J593,No data,No data
ME22,2005,0
BF11,No data,No data
K855,2005,0
DB60,No data,No data
E878,2012,0
KA53,2008,0
R784,No data,No data
AC18,2011,0
N093,1986,0
G909,2005,0
FC11,2014,0
V284,1998,0
B871,No data,No data
DE06,2013,0
KF35,2013,0
MB44,No data,No data
BA77,2003,1
MM03,2010,0
DD99,1946,0
D347,1997,0
KI72,No data,No data
B736,2012,0
GA90,2008,0
O212,2000,0
O574,2013,0
AB87,No data,No data
F236,1992,1
B050,No data,0
CD90,2009,0
U174,2013,0
BI56,No data,No data
MJ65,No data,No data
CD84,2011,0
L069,1986,3
BI42,No data,No data
U160,2013,0
MJ71,2008,1
O560,2013,0
P018,1980,49
F222,1991,4
AB93,No data,No data
W011,1983,48
G882,2004,0
GA84,2008,1
MM17,No data,No data
D353,1997,17
KI66,No data,No data
S277,1986,3
M411,1988,1
B722,1998,0
W039,1914,1
A203,1989,156
G672,2001,0
V327,No data,No data
C414,1998,0
KG96,2013,0
L727,2003,0
K048,1973,2
J356,2005,0
B0C7,2016,1
T256,1996,0
J430,2008,0
E703,No data,No data
C372,1991,1
MJ59,2009,0
U148,2012,0
L041,1981,26
BP83,2015,0
G114,1986,0
PI36,1950,1
GH12,2013,0
P030,1973,17
N656,2009,0
V455,2005,0
P024,1984,140
GH06,No data,No data
B078,1981,6
T242,1998,0
CJ60,2013,0
J424,2008,0
E717,2010,0
C366,1995,1
L055,1986,2
C400,1993,35
L733,2004,6
KG82,No data,No data
J342,2005,0
E071,1972,1
B0B3,2016,0
F578,No data,No data
GA53,2006,0
HB60,2012,0
G855,2004,0
F593,2007,0
L900,2005,0
MC18,2003,1
D384,1998,0
CC35,No data,No data
CD53,2008,0
BI95,2009,0
E924,No data,No data
R800,2004,0
K909,2005,0
AB44,2010,0
PG11,2011,0
GF35,No data,No data
AB50,2011,0
PG05,2011,0
GF21,2012,0
CD47,2009,0
E930,2013,0
BI81,2009,15
DC28,2012,0
B087,1988,0
R814,2006,0
BG59,No data,No data
L914,2006,0
CC21,2007,0
B939,No data,No data
G699,No data,No data
GA47,No data,No data
HB74,No data,No data
FB59,2013,0
G841,2004,0
AE36,2013,0
F587,2005,0
J395,2007,0
DD66,2015,0
KG55,2013,0
B911,2000,0
CC09,2007,1
MT15,No data,No data
G869,No data,No data
N695,2010,0
BP40,No data,No data
GF09,No data,No data
DC00,No data,No data
K935,2005,0
T295,1999,0
MD42,2005,0
BG71,2007,0
DC14,No data,No data
L096,1981,0
K921,No data,No data
R828,2005,0
T281,2002,0
MD56,2003,179
BG65,2008,0
W788,1946,5
PG39,2012,0
N681,No data,No data
V496,2005,0
W950,1897,52
H596,2000,0
HB48,2012,2
S288,1985,71
J381,2006,0
KI99,2015,0
B0N0,2022,0
L928,2006,0
B905,2002,0
MH67,2007,0
BK54,2011,0
R419,1998,533
K510,1999,0
D623,2002,0
CF92,No data,No data
S707,No data,No data
T068,No data,No data
W561,No data,No data
F034,1985,0
A0F6,2018,0
I307,2010,0
H019,1968,453
A983,2008,0
GC92,2009,0
F752,No data,No data
P568,1999,0
W207,No data,No data
B534,1994,0
M607,1994,5
DH43,2015,0
S061,1986,0
K276,1994,0
D145,No data,No data
MO01,2012,0
BL32,No data,No data
M613,1998,0
DH57,2015,2
D151,1987,0
MO15,2012,0
BL26,No data,No data
O004,1975,102
GC86,No data,No data
F746,No data,No data
W213,1995,0
A029,1985,4
W575,2009,0
A0G2,2019,0
F020,1973,536
I313,2012,0
GJ38,2014,0
A997,No data,No data
MH73,2012,0
BK40,2013,167
K504,1999,0
CF86,No data,No data
S713,1996,0
BE98,No data,No data
A767,2006,0
N454,2003,0
GJ10,No data,No data
F008,1971,70
H025,1982,432
V643,2010,0
BK68,2011,0
C170,1961,27
R425,1998,0
J632,No data,No data
MF83,2012,0
T054,1978,1
CH76,2013,0
T732,2001,1
CO10,No data,No data
B508,No data,No data
J154,1997,0
D179,1988,0
L525,2002,0
KE94,No data,No data
C616,1998,0
PL52,2014,0
A001,1983,1
G464,1999,0
PL46,2014,0
A015,1985,0
CO04,2015,0
J140,1994,0
R357,1996,0
KE80,2012,0
MO29,2012,0
L257,1990,3
R431,1998,0
MF97,2005,0
CH62,No data,No data
M149,1975,2
T040,1962,248
A773,2006,0
W549,No data,No data
N440,2008,0
P226,1988,389
V657,2008,0
A940,No data,No data
GD37,2010,0
PE13,2008,0
A798,2006,0
A0J5,2022,0
B291,1987,0
CH89,2014,0
D838,2006,0
BK97,2011,0
CF51,2010,0
LB04,No data,No data
CA37,2004,0
T915,No data,No data
C831,2002,0
BB29,2002,0
AG20,2014,0
F791,2009,0
PB75,2007,0
H964,No data,No data
BU18,No data,No data
GC51,2009,0
F785,2009,0
AG34,2015,0
PB61,2004,0
H970,2008,0
T901,No data,No data
M808,1998,0
CA23,2004,0
C825,2003,0
MF68,2005,0
S908,1998,0
BK83,No data,No data
KB19,2008,0
LE76,2013,0
CF45,2010,0
A954,2008,0
MQ59,1939,32
GD23,2010,0
PE07,2009,0
A0K1,2022,0
BE73,2006,0
MF40,2005,0
D804,No data,No data
KB31,2008,0
L280,1991,0
S920,1999,0
MH98,2008,0
DA02,2009,6
V680,2010,0
MQ71,2013,0
N497,No data,No data
V858,No data,No data
A0I9,2022,0
P597,2000,0
H958,2008,0
PB49,2006,0
BU24,2016,1
MV17,2014,0
H780,2008,0
PL91,2015,0
M820,1998,1
T929,2005,0
B0W2,2024,0
K289,No data,No data
LB38,No data,No data
MA26,2001,0
B0V6,No data,No data
M834,No data,No data
KE43,2012,0
MA32,2000,0
AG08,2016,1
BU30,No data,No data
MV03,2015,0
H794,No data,No data
PL85,2015,0
MQ65,1948,41
BE67,2007,32
MF54,2007,0
D810,No data,No data
KB25,2011,0
DA16,2011,0
CF79,No data,No data
PL84,2014,0
H795,No data,No data
BU31,2015,0
GC78,No data,No data
AG09,2014,0
P582,No data,No data
J182,1998,0
MA33,No data,No data
KE42,2012,0
B0V7,No data,No data
M835,1998,0
CF78,No data,No data
DA17,2009,0
L295,1993,0
D811,No data,No data
MF55,No data,No data
BE66,2006,0
N482,No data,No data
V695,2008,0
A969,2008,0
A0I8,2021,0
V859,2012,0
N496,No data,No data
MQ70,2013,0
V681,2008,0
MH99,No data,No data
DA03,No data,No data
KB30,2008,0
D805,2005,0
MF41,No data,No data
BE72,No data,No data
MA27,2001,0
J196,1998,0
BB14,2002,0
KE56,2012,0
R381,No data,No data
LB39,2009,0
B0W3,No data,No data
T928,2007,0
PL90,No data,No data
H781,No data,No data
MV16,No data,No data
F974,2013,0
BU25,2014,0
PB48,2006,0
H959,No data,No data
P596,1968,6
C824,No data,No data
T900,2004,0
M809,1999,0
CA22,2004,7
LB11,2008,0
GC44,2009,0
H971,2008,0
PB60,No data,No data
F784,2009,0
AG35,2017,0
A0K0,2023,0
PE06,2011,0
GD22,2010,0
HG11,1889,9
A955,2008,0
CF44,2010,0
BK82,2012,0
S909,1998,0
B284,No data,No data
MF69,No data,No data
BK96,2011,0
CH88,No data,No data
D839,No data,No data
A0J4,2022,0
V865,2013,0
A799,2008,0
GD36,2010,0
A941,2008,1
GC50,2009,0
BU19,No data,No data
H965,2008,0
PB74,No data,No data
AG21,No data,No data
F790,No data,No data
DF59,1905,8
CA36,No data,No data
LB05,2008,0
C603,1998,0
KE81,2012,0
L530,1999,0
R356,1996,0
J141,No data,No data
T727,2000,0
N327,1999,0
A014,1967,591
PL47,No data,No data
H756,2004,234
V656,2008,0
G303,1995,0
H030,1982,82
GJ05,2014,0
W548,2008,0
A772,2005,0
CH63,2012,0
M148,1978,4
MF96,2005,0
K539,2001,0
R430,No data,No data
LE88,1948,3
CH77,No data,No data
J633,2013,0
MF82,2005,0
R424,1998,0
C171,1964,95
BK69,2011,0
V642,2007,0
G317,1993,0
H024,1976,59
P233,1988,69
GJ11,No data,No data
A766,2009,0
PL53,2014,0
KE95,2012,0
D178,1987,0
J155,No data,No data
B509,No data,No data
T733,2000,0
CO11,2015,1
A028,1985,106
W212,1993,109
F747,2009,0
GC87,2009,3
BL27,2010,0
MO14,2012,0
K263,1992,10
S074,1978,7
B521,No data,No data
B247,1986,0
BE99,No data,No data
S712,1998,2
CF87,2013,0
BK41,2012,0
MH72,2009,0
A996,2008,0
I312,2012,0
GJ39,2014,0
F021,1982,0
A0G3,No data,No data
W574,2007,0
I306,2010,11
A0F7,2018,0
F035,1982,378
N469,2003,0
W560,2007,0
CF93,No data,No data
R418,No data,No data
K511,2004,0
MH66,No data,No data
BL33,2013,0
MO00,2012,0
K277,2006,0
DH42,No data,No data
J169,No data,No data
S060,1964,789
B535,1997,0
W206,1996,0
F753,2008,0
GC93,2012,0
O011,1981,0
BP55,2013,0
V497,No data,No data
N680,No data,No data
PG38,No data,No data
BG64,No data,No data
T280,No data,No data
K920,No data,No data
R829,No data,No data
DC15,No data,No data
B904,2000,0
B0N1,2023,0
KI98,No data,No data
L929,No data,No data
MC31,2002,0
J380,2006,12
HB49,No data,No data
G868,2004,0
MT14,No data,No data
CC08,No data,No data
R183,1988,0
KG54,No data,No data
DD67,2014,0
J394,2007,0
BG70,2007,0
T294,No data,No data
K934,No data,No data
L083,1968,34
E919,2013,0
DC01,2012,0
GF08,2012,0
BP41,2014,5
N694,2011,0
BG58,No data,No data
R815,2005,0
B086,No data,No data
DC29,2012,0
E931,2013,0
BI80,No data,No data
CD46,No data,No data
N864,1927,1
BP69,2013,0
GF20,2012,0
PG04,2011,7
AB51,No data,No data
AE37,2013,0
F586,2006,27
FB58,2016,0
HB75,2012,0
GA46,2006,5
B938,2004,0
CC20,2008,0
D391,1998,0
L915,2008,0
D385,1999,0
CC34,No data,No data
KG68,No data,No data
MC19,2002,6
L901,2006,0
F592,No data,No data
G854,2005,0
HB61,2014,0
GA52,2008,0
GF34,2012,0
PG10,2011,0
R801,No data,No data
K908,No data,No data
BI94,2009,0
E925,2013,0
CD52,2008,0
R632,2002,8
E716,2006,0
J425,2008,0
T243,1995,40
CJ61,No data,No data
B079,1978,113
A570,2002,0
N643,2010,0
P025,1981,0
GH07,2013,0
H232,1987,1
H554,No data,No data
G667,2001,0
F579,No data,No data
B0B2,2016,0
B0C6,No data,No data
K049,1966,510
R140,No data,No data
KG97,No data,No data
C415,2001,0
H540,1999,0
G673,2001,0
A202,1991,133
W038,1979,49
GH13,No data,No data
P031,1979,13
G115,No data,No data
BP82,No data,No data
U149,2013,0
C373,No data,No data
MJ58,2009,0
R626,No data,No data
E702,2004,15
S538,No data,No data
J431,2010,0
T257,No data,No data
W776,2013,0
AB92,2011,0
O561,2013,0
MJ70,2008,5
BI43,2009,0
U161,2013,0
K707,2010,0
D434,2000,0
CD85,2008,268
J419,No data,No data
S276,1986,52
KI67,No data,No data
R168,No data,No data
K061,1983,0
MM16,2010,0
O207,2000,20
GA85,2007,0
F545,2014,0
G883,No data,No data
W010,1974,3
GA91,No data,No data
W004,1984,0
G897,No data,No data
B737,2004,0
S262,No data,No data
KI73,2015,0
C429,1994,3
MM02,2010,0
MJ64,2008,0
U175,2013,0
BI57,No data,No data
K713,2002,0
CD91,2008,0
D420,1999,0
B051,1983,93
A558,2003,0
AB86,2011,0
O575,2013,0
P192,No data,No data
AC19,2011,0
H385,1996,6
PH94,1966,0
R785,2004,0
E879,2016,0
KA52,No data,No data
DB61,2011,0
K854,No data,No data
BF10,No data,No data
MB45,No data,No data
L685,2002,0
KF34,2013,0
DE07,2014,0
B870,No data,No data
V285,1998,0
FC10,No data,No data
G908,No data,No data
O398,2008,0
V291,2000,0
HC29,1963,2
BA62,2002,0
MB51,2001,0
ML89,2010,0
DE13,No data,No data
LF29,2013,0
R791,2004,0
KA46,2007,0
DB75,2011,0
K840,2004,0
R949,No data,No data
BF04,2007,0
ME37,No data,No data
J586,2014,0
PF58,No data,No data
H391,1997,0
N938,2015,0
CE32,2009,0
E845,2011,0
R961,2007,0
K868,2004,0
EA43,2015,0
F394,1999,0
AC25,2012,0
PF70,No data,No data
HD67,2013,2
GG54,2013,0
N910,2013,0
W819,1946,2
MU48,No data,No data
G934,2005,0
L861,2005,0
KF08,2013,0
CB54,No data,No data
C0R7,2024,0
L875,No data,No data
B680,No data,No data
BO86,1938,0
B858,No data,No data
CB40,2006,0
HC15,No data,No data
G920,No data,No data
A389,1999,193
FC38,2016,0
AD57,2013,0
AC31,No data,No data
F380,No data,No data
GI98,2013,0
PF64,2010,0
HD73,2013,0
CE26,2010,0
D597,2002,0
DB49,2011,0
E851,No data,No data
R975,2007,383
E689,No data,No data
BF38,2006,0
T337,1998,0
K897,No data,No data
E662,No data,No data
S458,No data,No data
J551,2012,111
KA91,2008,0
MK38,2009,0
O429,No data,No data
V520,2005,0
HD98,2014,0
H346,1993,33
G075,1956,261
PH57,2012,0
I058,1999,0
A404,1999,0
N737,2012,0
P637,2002,0
H420,1998,0
V246,1998,0
K129,1968,1
MB86,2002,0
J237,2000,0
M558,1998,0
L652,2008,0
C561,1998,0
J223,1999,0
MB92,2002,0
A376,1999,0
N045,1969,56
H434,1997,0
V534,No data,No data
H352,1999,0
PH43,No data,No data
A410,1999,7
N723,No data,No data
T323,2001,0
B119,1961,35
K883,No data,No data
E676,No data,No data
R752,2004,0
KA85,2007,0
C207,1985,0
GG97,2013,0
G049,1976,217
I064,1999,0
W602,2014,0
A438,2000,0
B131,1968,36
M202,1978,0
D540,2006,0
MK04,2008,0
E886,No data,No data
BH37,2008,0
ML62,No data,No data
C549,1998,0
BO51,1954,0
CB97,2006,0
D226,1992,0
S302,1966,3
E138,1993,30
B657,1999,0
M564,1992,7
W164,1998,0
F431,2000,1
O373,2007,0
W170,1990,0
F425,2000,0
AD94,1927,46
H408,No data,No data
O367,2007,0
ML76,No data,No data
K101,1969,1
CB83,No data,No data
B643,1998,2
M570,1995,4
B125,1961,95
K667,2001,0
MK10,2008,0
BH23,2008,0
E892,2015,0
V508,No data,No data
I070,1998,0
N290,1997,0
H839,2005,0
FA12,1937,7
MW76,2015,0
F814,No data,No data
BT45,2014,0
LC59,2011,0
M941,1999,0
C0H9,2019,0
KD36,2011,0
M799,1999,0
S699,1996,0
MG21,No data,No data
BD12,2004,0
D965,No data,No data
KC50,2009,0
MP10,2013,0
I299,2010,0
P390,1998,0
A809,2006,0
P384,2001,0
BD06,2004,407
D971,2008,0
D0I4,2022,0
S855,1998,0
KC44,2009,0
R593,2001,0
CG18,No data,No data
F800,2009,0
MW62,2015,0
BT51,2014,0
GB18,2007,0
C0K5,2022,0
T874,2003,0
LC65,2011,0
BM90,1971,0
C788,No data,No data
AF41,2013,0
H805,2004,0
GB30,2008,0
BT79,2015,0
F828,2015,0
HA03,2008,6
A821,No data,No data
G288,1991,36
GE56,2013,0
PD72,2008,0
AA27,2009,3
F196,No data,No data
D959,2008,0
D781,No data,No data
LD03,2011,0
MG09,No data,No data
KC78,2012,0
S869,1999,0
D795,2005,0
CG24,No data,No data
LD17,2014,0
A835,No data,No data
GE42,No data,No data
MP38,2013,0
PD66,2009,0
F182,1987,0
V911,1931,54
AA33,2009,0
H811,2005,0
PC00,2005,0
GB24,2009,0
HA17,2009,0
T860,2003,3
LC71,2011,0
C944,2004,0
CN71,No data,No data
C777,2001,1
L444,1998,0
BT86,No data,No data
PM33,No data,No data
G511,1999,44
H622,2001,0
P435,1997,0
N253,1997,0
N535,No data,No data
HH42,2017,0
P353,1995,11
G277,1991,0
H144,1964,5
V722,2009,0
C011,1982,68
D0D3,2018,0
BJ09,No data,No data
KC93,No data,No data
R544,2001,0
T135,1987,23
CI17,2013,0
D0E7,2018,0
C005,1982,1
KC87,No data,No data
L336,1997,63
K459,1998,0
M028,1983,28
CI03,No data,No data
PD99,2008,0
N521,2005,0
P347,1995,0
G263,1993,1
V736,2009,0
O159,1998,0
V050,1981,2
BT92,2014,0
G505,1998,0
PM27,2015,0
P421,No data,No data
CN65,No data,No data
J021,1971,40
R236,1991,10
M996,2000,0
C763,2000,0
MN48,2011,0
L450,1998,0
MW89,2018,0
O171,1999,0
F633,No data,No data
AF82,2015,0
W366,2002,0
B455,1991,2
J009,1985,12
C993,2004,0
S100,1983,1
D024,1983,4
C0G6,No data,No data
K317,1995,11
BM53,No data,No data
BJ35,2010,0
D742,2005,0
K471,1999,0
T109,1968,0
N509,2005,0
W400,2005,0
I266,2008,0
GE95,2012,0
W414,2002,0
I272,No data,No data
GE81,2012,0
BJ21,2010,0
C039,1977,378
MI12,No data,No data
D756,2008,0
K465,1998,2
S672,1996,0
M014,1973,126
CN59,2015,0
B441,1991,0
S114,No data,No data
C987,2004,0
C0F2,2018,0
BM47,2013,0
MN74,2012,0
O165,1998,0
AF96,No data,No data
F627,2005,0
W372,2002,0
MG91,No data,No data
J720,No data,No data
D0C0,No data,No data
MI49,2008,0
L351,No data,No data
R537,2000,0
G204,No data,No data
O658,2014,0
V751,2013,0
N546,2005,0
HH31,2015,0
I229,2006,0
GK02,2016,0
P320,No data,No data
P446,No data,No data
PC98,2006,0
A113,1975,4
H889,No data,No data
V037,1986,303
G562,1964,3
PM40,No data,No data
H651,2010,0
K358,1996,44
R251,1994,16
C0C9,2017,0
KD86,2011,0
CN02,2014,0
M729,1998,0
C710,No data,No data
BM08,2012,0
KD92,No data,No data
CN16,2014,0
F668,2006,0
P452,1999,0
PM54,2015,0
G576,2000,0
PJ32,2013,0
H123,No data,No data
V745,2010,0
BS87,No data,No data
N552,No data,No data
HH25,No data,No data
GK16,2015,0
J734,No data,No data
MG85,2006,0
CI70,2014,0
C076,1982,0
D0B4,No data,No data
L345,No data,No data
D719,2004,0
A891,2008,0
Q002,1984,0
O664,2014,0
W473,No data,No data
I215,No data,No data
AA97,No data,No data
S615,No data,No data
M073,1978,11
MI75,2008,0
CG80,2012,218
D731,2004,0
D057,1981,0
K364,1997,0
BM20,2012,0
MN13,2011,36
C738,2000,0
DG89,No data,No data
M715,No data,No data
S173,1986,0
F640,2006,2
GB80,2008,0
O102,1991,1
F654,No data,No data
W301,No data,No data
GB94,2009,0
O116,1992,0
H679,2002,0
C0A1,2015,0
K370,No data,No data
MN07,2011,0
M701,1997,0
B432,2003,0
S167,1978,2
J708,2014,0
S601,1993,6
M067,1981,1
BJ52,2010,0
L379,1996,0
MI61,No data,No data
D0A8,No data,No data
D725,No data,No data
CG94,2012,2
A885,No data,No data
MP88,No data,No data
V779,No data,No data
O670,2015,0
W467,2004,0
I201,2004,5
HH19,No data,No data
AA83,2010,0
N585,2006,0
AA68,No data,No data
V792,2014,0
GE19,2011,0
MG52,No data,No data
BD61,No data,No data
D916,2007,2
J085,1987,12
R292,1993,0
DG76,2014,0
KD45,2011,0
F867,2012,0
MW05,No data,No data
P485,1998,0
Q943,2008,0
MW11,No data,No data
HA58,2010,0
P491,1998,55
Q957,2012,0
S198,1973,3
R286,1993,391
DG62,2017,0
KD51,2011,0
KC37,2010,0
L386,1998,52
LD58,No data,No data
MG46,No data,No data
BD75,2007,0
M098,No data,No data
D902,No data,No data
T191,1998,0
W498,No data,No data
N591,2007,0
PD29,2007,0
BJ85,2010,0
CG43,2011,0
LD70,2012,0
B383,1988,0
PD01,2007,0
AA54,No data,No data
A852,2009,0
GE25,2011,0
GB43,2008,0
HA70,No data,No data
MW39,2015,0
F683,No data,No data
AF32,2013,3
H876,2007,0
PC67,2006,0
C0L6,2021,0
D094,1987,1
LC16,2011,0
KD79,No data,No data
D080,1970,179
LC02,2010,0
GB57,No data,No data
G589,2000,0
F697,No data,No data
H862,No data,No data
PC73,2006,0
PD15,2007,0
A846,No data,No data
GE31,No data,No data
BJ91,2013,0
C089,1979,18
CG57,No data,No data
LD64,2012,0
BD49,2004,0
B397,1989,257
J244,No data,No data
L635,2001,0
KF84,2013,0
C506,1997,1
R053,1985,0
H453,No data,No data
A311,1997,13
N022,1977,482
A477,No data,No data
N744,2012,2
V553,No data,No data
H335,1993,0
PH24,2012,0
G006,1979,4
BH78,2008,0
C260,1988,193
T344,2000,0
LH55,No data,No data
J522,2011,0
ME93,2004,0
K628,2001,0
R721,2004,0
C274,1987,662
T350,2001,0
LH41,2014,0
ME87,2004,0
J536,2012,0
GI14,1908,4
A463,2000,0
W659,No data,No data
V547,2005,0
O328,2005,0
HC99,2013,0
A305,1998,0
N036,1985,0
P650,No data,No data
J250,2001,0
C512,No data,No data
ML39,2010,0
R047,1984,0
V209,No data,No data
O300,No data,No data
G984,2006,0
F442,No data,No data
S371,No data,No data
B624,No data,No data
M517,No data,No data
K166,1986,0
R709,2003,4
K600,No data,No data
D533,2001,0
CE82,2009,0
MK77,No data,No data
LH69,2014,0
M271,1962,277
S417,No data,No data
F324,1997,1251
AC95,2012,0
I017,1968,25
W671,2011,0
O466,2010,1
PH18,2014,0
I003,1982,33
W665,No data,No data
O472,2012,0
K614,No data,No data
C248,1987,2
MK63,2017,0
BH50,2008,0
S403,1988,136
E639,2003,2
BF88,2008,0
KH74,No data,No data
ML05,No data,No data
K172,1987,4
O314,No data,No data
G990,2006,0
A339,1999,11
MU07,2013,0
KF47,No data,No data
B803,2000,0
T387,2000,0
BF63,2007,0
ME50,2004,0
U099,No data,No data
KA21,2007,0
MK88,2009,0
DB12,2011,0
BQ52,1905,32
O499,2012,0
MR61,No data,No data
V590,2006,0
N787,1957,7
V584,No data,No data
LH82,2014,0
EA18,2014,1
K833,2004,0
BF77,2008,0
ME44,2004,0
CE69,No data,No data
KA35,No data,No data
DB06,2012,0
KF53,2013,0
BA11,1948,1
J293,2004,0
MB22,No data,No data
P693,2001,7
BV20,2015,0
CB27,2005,0
BA39,2001,0
L812,2004,0
G947,2005,0
HC72,2015,0
BV08,2015,0
N963,2014,0
AC56,2012,0
PF03,2012,0
EA30,No data,No data
R912,No data,No data
CE41,No data,No data
E836,2011,0
BH87,2008,0
EA24,2014,53
ME78,2004,0
CE55,No data,No data
BH93,No data,No data
KA09,No data,No data
E822,2010,0
HD00,2013,0
GG33,2013,0
N977,2015,0
PF17,2009,0
PA71,2005,0
AD24,2014,0
D282,1996,0
CB33,2006,0
L806,No data,No data
MM59,2012,0
C472,1998,0
CM74,2014,0
KI28,No data,No data
E003,1976,54
B0E1,2017,0
L999,No data,No data
S239,1958,56
MC81,2004,0
J330,2008,0
P730,2002,0
A265,1994,0
O248,1958,82
G614,No data,No data
G172,No data,No data
A503,2001,1
W739,2013,0
N630,2008,0
E765,2008,0
J456,No data,No data
K990,2006,0
LI21,No data,No data
R899,2005,0
C314,1992,2
K748,2003,0
R641,2002,0
E771,2008,0
J442,2008,0
CJ06,1935,5
LI35,2015,0
K984,2006,0
BI18,2009,0
G166,1999,17
A517,2002,0
N624,2008,0
P042,1977,101
F278,1994,9
V355,2002,0
G600,2000,0
D309,No data,No data
C466,1995,0
J324,2006,0
AE87,1922,3
F536,2003,0
G628,2001,605
K012,1978,10
CC90,No data,No data
D321,1999,0
B750,1998,0
M463,1990,1
KI14,2014,0
S563,No data,No data
E759,2008,0
MJ03,2010,0
C328,1991,266
DC99,2013,0
U112,2007,0
BI30,2009,0
K774,2003,0
D447,1999,0
O512,2012,0
W705,2012,0
H269,1989,0
O506,No data,No data
GF84,1968,4
N618,2009,0
W711,2012,0
LI09,2014,0
B022,1982,9
T218,No data,No data
M311,No data,No data
BI24,2009,0
U106,2008,0
K760,2003,74
D453,1999,0
K006,1979,1
CC84,2007,0
MM71,2011,0
B744,1999,0
M477,No data,No data
S211,1985,1
B0G9,2018,0
KI00,No data,No data
F522,2003,0
P718,No data,No data
MT98,2014,0
GA09,2006,0
AE78,No data,No data
B0I2,2019,0
MC42,2002,0
B977,2001,4
KG33,2013,0
DD00,1966,0
CD09,2008,0
BG17,2008,0
K953,2007,0
PI93,2013,0
P081,1967,74
BP32,2013,0
MS01,No data,No data
DC72,2013,0
S588,No data,No data
J481,2009,0
K947,2005,0
B0H6,2019,0
B963,2003,0
KG27,2013,0
V396,2001,0
B793,1999,0
L966,2009,0
CC53,No data,No data
HB06,2011,0
GA35,2008,0
AE44,2013,0
PG77,2011,0
F293,No data,No data
AB22,2010,0
GF53,2013,3
CD35,2008,0
R866,2006,0
